Type → Name Bigrams
================================================================================

Format: (node_type, node_name)

('sending.message', '填寫滿意度調查')
('prompt.text', '輸入')
('flow.begin', '前往 滿意度調查')
('prompt.text', 'Echo')
('flow.begin', '回迎賓')
('custom', '滿意度調查')
('trace', '輸入參數')
('flow.module.begin', '呼叫圖片生成模組')
('custom', '上傳附件插件')
('trace', '偵錯')
('function', '整理檔案對應')
('variable', '判斷是否有引擎設定')
('prompt.text', '詢問是否要重新上傳')
('prompt.text', 'API錯誤返回主選單')
('trace', '插件結果')
('request.raw', '呼叫聊天完成 API')
('sending.message', '轉換中請稍候-3秒')
('flow.module.begin', '呼叫 FunctionCall 處理模組')
('trace', '輸入參數')
('variable', '判斷輸入文字或附件')
('function', '整理檔案與Base64String')
('trace', '輸入參數')
('flow.module.begin', '呼叫語音轉文字模組')
('flow.module.begin', '呼叫檔案轉圖片模組')
('variable', '判斷是否有圖片生成模型')
('trace', '輸入參數')
('variable', 'OCR變數設定')
('trace', '輸入參數')
('trace', '取得的檔案')
('sending.message', '不等待')
('function', '內容摘要')
('variable', '清空附件資料')
('sending.message', '錯誤訊息')
('variable', '判斷成功或失敗')
('sending.message', '超過 retry 上限')
('sending.message', '轉換中請稍候-3秒')
('flow.module.end', '結束目前模組')
('flow.module.end', '結束目前的模組')
('variable', '初始變數')
('variable', '等待時間為30秒,60秒就詢問使用者是否要繼續等待')
('flow.module.begin', '呼叫 API 後判斷模組')
('flow.module.end', '結束目前的模組')
('function', '整理使用大語言模型')
('flow.module.begin', '呼叫 API 後判斷模組')
('trace', '輸入參數')
('variable', '是否還有檔案要處理')
('trace', '偵錯')
('function', '確認任務狀況')
('sending.message', '轉換中請稍候-10秒')
('flow.module.begin', '判斷 API 呼叫結果')
('trace', '[處理後] message資料')
('flow.module.begin', '呼叫 API 後判斷模組')
('sending.message', '轉換中請稍候-9秒')
('variable', '設定變數')
('prompt.text', '詢問是否要繼續等待')
('flow.module.end', '結束目前的模組')
('sending.message', '請重新操作')
('variable', '準備 toolCallOutputs')
('flow.module.begin', '呼叫 API 後判斷模組')
('flow.module.end', '結束目前的模組')
('flow.module.end', '結束目前的模組')
('sending.message', '處理完成結果')
('variable', '判斷是否有語音文字檔待處理')
('sending.message', '中文翻譯提示')
('flow.module.begin', 'API 結果判斷')
('function', '整理任務')
('variable', 'API參數設定')
('prompt.text', '詢問是否要重新上傳')
('function', '確認使用者提示是否有輸入')
('function', '整理檔案連結')
('sending.message', '轉換中請稍候')
('function', '語音轉文字結果')
('trace', '輸入參數')
('trace', '偵錯待處理檔案')
('variable', '判斷使用哪個語音轉文字服務')
('function', '整理呼叫條件')
('function', '排除非預期的funcation call')
('flow.module.end', '結束模組')
('variable', '判斷是否轉換成功')
('prompt.text', '不是輸入文字')
('sending.message', '測試輸出')
('variable', '判斷是否有資料')
('request.multicast', '批次取得任務')
('variable', '判斷是否啟用情境理解')
('function', '將 toolCallOutput 加入 toolCallOutputs')
('variable', '無法處理toolCall的回覆')
('trace', '偵錯文字檔Plugin Response')
('function', '檔案資料前處理')
('prompt.text', '檔案上傳')
('flow.module.begin', '中文翻譯')
('flow.module.end', '結束目前的模組')
('trace', '[處理前] message資料')
('function', '將 required tool call 加入對話紀錄中')
('sending.message', '結果輸出提示')
('function', '只留下成功的任務')
('function', '整理 (有啟用的) function call')
('prompt.text', '檔案上傳')
('variable', '是否有上傳檔案')
('flow.begin', '[腳本]台新腦模擬中文翻譯/合約摘要')
('flow.module.begin', '呼叫檔案上傳模組')
('sending.message', '結果輸出提示')
('sending.message', '超過 retry 上限')
('function', '將檔案或輸入文字組進對話紀錄中')
('sending.message', '處理完成結果')
('variable', '檔案是否符合限制頁數範圍')
('trace', '輸入參數')
('prompt.text', '請繼續輸入')
('flow.module.begin', '呼叫 API 後判斷模組')
('variable', '根據 function 處理')
('sending.message', '中文翻譯提示')
('function', '設定目前 base64String')
('trace', '語音轉文字結果')
('request.multicast', '批次呼叫AOAI')
('sending.message', '呼叫 API 發生錯誤')
('variable', '判斷是否處理附件')
('variable', '判斷是否需要執行 function call')
('function', '準備批次呼叫API資料')
('function', '確認是否有要執行function call')
('trace', '*分類後結果')
('variable', '判斷使用哪一種模型')
('custom', '音訊檔轉為 wav')
('sending.message', '轉換中請稍候-6秒')
('flow.module.begin', '呼叫「網路搜尋模組」模組')
('function', '模型選擇')
('trace', '確認使用者提示(UserPrompt)')
('trace', '偵錯訊息處理模組處理結果')
('function', '加入回傳結果')
('variable', '檢查是否存在有不支援的檔案類型')
('flow.module.begin', '呼叫 API 後判斷模組')
('function', '模型選擇')
('variable', '判斷語音轉文字是否已完成')
('flow.module.end', '結束目前的模組')
('flow.begin', 'OCR文字辨識')
('variable', '儲存上個節點資訊')
('trace', '語音轉文字 mp3Files')
('trace', '語音檔案連結')
('sending.message', '上傳成功提示')
('flow.module.begin', '附件轉圖片連結')
('function', '將 toolCallOutputs 加入對話紀錄中')
('variable', '更新對話紀錄')
('function', '整理搜尋結果')
('sending.message', 'API錯誤')
('sending.message', '轉換中請稍候-6秒')
('function', '整理輸入')
('variable', '判斷是否有資料')
('custom', '上傳附件插件')
('flow.module.end', '結束目前的模組')
('prompt.text', '檔案上傳')
